,reliable_sensor1,reliable_sensor2,reliable_sensor3,reliable_sensor4,unreliable_sensor1,unreliable_sensor2,unreliable_sensor3,unreliable_sensor4,robot1,robot2,door_sensor1,door_sensor2,door_sensor3,door_sensor4,time,electricity_price,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,c1,c2,c3,c4,o1,outside
22,motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('c1', 0)","('c3', 0)",0,0,0,0,08:05:45,1.0,0,0,2,0,0,0,0,0,0,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0
23,motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('c2', 1)","('c3', 0)",0,0,0,0,08:06:00,0.98,0,0,2,0,0,0,0,0,0,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0
24,motion,motion,no motion,motion,no motion,no motion,no motion,motion,"('c1', 0)","('r21', 0)",0,0,0,0,08:06:15,0.9603999999999999,0,0,2,0,0,0,0,0,0,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0
25,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('c1', 0)","('r21', 0)",0,0,0,0,08:06:30,0.9411919999999999,0,0,2,0,0,0,0,0,0,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0
26,motion,no motion,no motion,motion,motion,motion,motion,motion,"('c2', 1)","('r21', 0)",0,0,0,0,08:06:45,0.9603999999999999,0,0,2,0,0,0,0,0,0,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0
27,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c2', 1)","('r21', 0)",0,0,0,0,08:07:00,0.9411919999999999,0,0,2,0,0,0,0,0,0,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0
28,motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('c1', 0)","('c3', 0)",0,0,0,0,08:07:15,0.9603999999999999,0,0,2,0,0,0,0,0,0,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0
29,motion,no motion,no motion,motion,motion,no motion,motion,no motion,"('c1', 0)","('r19', 0)",0,0,0,0,08:07:30,0.98,0,0,2,0,0,0,0,0,0,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,0
30,motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('r25', 0)","('r19', 0)",0,0,0,1,08:07:45,0.9603999999999999,0,0,2,0,0,0,0,0,0,7,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,2,1,0
31,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('r22', 0)","('c3', 2)",0,0,0,0,08:08:00,0.98,0,0,2,0,0,0,0,0,0,6,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,2,2,0,0
32,motion,no motion,no motion,motion,no motion,no motion,motion,no motion,"('r12', 0)","('c3', 0)",0,0,0,0,08:08:15,0.9603999999999999,0,0,2,0,0,0,0,0,0,6,2,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,2,0,0
33,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('r12', 0)","('o1', 0)",0,0,0,2,08:08:30,0.98,0,0,2,0,0,0,0,0,0,5,2,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,3,0,0
34,motion,no motion,no motion,no motion,no motion,motion,no motion,motion,"('r22', 0)","('o1', 0)",0,0,0,0,08:08:45,0.9603999999999999,0,0,2,0,0,0,0,0,0,5,2,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,3,0,0
35,motion,motion,no motion,motion,no motion,no motion,no motion,no motion,"('r22', 0)","('c3', 0)",0,0,0,0,08:09:00,0.9603999999999999,0,0,2,0,0,0,0,0,0,5,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,0
36,motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('r22', 0)","('c3', 0)",0,0,0,1,08:09:15,0.98,0,0,2,0,0,0,0,0,0,5,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,2,0,0
37,motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,"('r12', 0)","('r19', 1)",0,0,0,0,08:09:30,0.9603999999999999,0,0,2,0,0,0,0,0,0,5,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,2,0,0
38,motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,"('outside', 0)","('c3', 0)",0,0,0,0,08:09:45,0.9411919999999999,0,0,2,0,0,0,0,0,0,5,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,2,0,0
39,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('outside', 0)","('c3', 1)",0,0,0,1,08:10:00,0.9603999999999999,0,0,2,0,0,0,0,0,0,4,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,3,0,0
40,motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,"('outside', 0)","('r20', 0)",0,0,0,0,08:10:15,0.9603999999999999,0,0,2,0,0,0,0,0,0,4,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,3,0,0
41,motion,no motion,no motion,motion,no motion,motion,no motion,motion,"('outside', 0)","('r20', 0)",0,0,0,0,08:10:30,0.9411919999999999,0,0,2,0,0,0,0,0,0,4,3,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,2,2,0,0
42,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('r12', 0)","('r20', 0)",0,0,0,0,08:10:45,0.9223681599999999,0,0,2,0,0,0,0,0,0,4,3,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,2,1,0
43,motion,motion,no motion,motion,motion,no motion,no motion,no motion,"('r12', 0)","('r20', 0)",0,0,0,0,08:11:00,0.9039207967999998,0,0,2,0,1,0,0,0,0,4,3,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,2,1,0
44,motion,no motion,no motion,motion,no motion,no motion,motion,no motion,"('r12', 0)","('r20', 0)",0,1,0,0,08:11:15,0.9039207967999998,0,0,2,0,0,0,0,0,1,4,3,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,3,0,0
45,motion,motion,motion,motion,no motion,motion,no motion,no motion,"('r12', 0)","('c3', 1)",1,0,0,2,08:11:30,0.9039207967999998,0,0,2,0,0,0,0,1,0,4,3,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,3,0,0
46,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('r12', 0)","('r21', 0)",0,0,1,0,08:11:45,0.9223681599999999,0,0,2,1,0,0,0,0,0,3,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,2,3,0,0
47,motion,no motion,no motion,motion,no motion,motion,no motion,motion,"('r12', 0)","('c3', 1)",0,0,0,1,08:12:00,0.9039207967999998,0,0,2,1,0,0,0,0,0,3,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,1,2,0,0
48,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('r22', 0)","('r20', 0)",0,0,0,0,08:12:15,0.9223681599999999,0,1,2,0,0,0,0,0,0,3,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,1,2,0,0
49,motion,no motion,motion,motion,motion,no motion,motion,no motion,"('r22', 0)","('c3', 0)",0,0,0,0,08:12:30,0.9411919999999999,1,0,2,0,0,0,0,0,0,3,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,2,1,0
50,no motion,no motion,no motion,motion,motion,no motion,motion,no motion,"('r12', 0)","('c3', 0)",0,0,0,0,08:12:45,0.9603999999999999,1,0,2,0,0,0,0,0,0,3,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,2,1,0
51,no motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,"('r22', 0)","('o1', 0)",0,0,0,0,08:13:00,0.98,0,0,3,0,0,0,0,0,0,3,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1,1,3,0,0
52,motion,no motion,no motion,no motion,no motion,motion,no motion,motion,"('r12', 0)","('o1', 0)",0,0,0,0,08:13:15,0.98,0,0,2,0,0,0,1,0,0,3,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,1,1,2,0,0
53,motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,"('r12', 0)","('o1', 1)",0,0,1,0,08:13:30,1.0,0,0,2,0,0,0,1,0,0,3,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,1,0,2,1,0
54,motion,no motion,motion,no motion,no motion,motion,no motion,no motion,"('r12', 0)","('o1', 0)",0,0,0,0,08:13:45,1.0204081632653061,0,0,2,0,0,0,1,0,0,3,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,1,3,0,0
55,motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,"('outside', 0)","('o1', 0)",0,1,0,0,08:14:00,1.0204081632653061,0,0,2,0,0,0,1,0,0,3,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,0,2,0,0
56,motion,no motion,no motion,no motion,no motion,no motion,no motion,motion,"('outside', 0)","('c4', 2)",0,0,0,0,08:14:15,1.0412328196584757,0,0,1,0,0,0,2,0,0,3,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,0,2,0,0
57,motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,"('r12', 0)","('c4', 3)",0,1,0,0,08:14:30,1.062482469039261,0,0,1,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,1,3,0,0
58,motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,"('outside', 0)","('c4', 4)",0,0,0,0,08:14:45,1.062482469039261,0,0,1,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,1,4,0,0
59,motion,no motion,motion,no motion,motion,no motion,no motion,no motion,"('r12', 0)","('c4', 4)",0,0,0,1,08:15:00,1.062482469039261,0,0,1,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,4,1,0
60,motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,"('r22', 1)","('c4', 4)",0,0,0,0,08:15:15,1.062482469039261,0,0,1,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,4,1,0
61,motion,no motion,no motion,no motion,no motion,no motion,no motion,motion,"('r12', 0)","('r29', 1)",0,0,0,0,08:15:30,1.0412328196584757,0,0,1,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5,0,0
62,motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,"('outside', 0)","('r29', 1)",0,0,0,2,08:15:45,1.0412328196584757,0,0,1,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,3,0,0
63,motion,no motion,no motion,no motion,motion,no motion,no motion,motion,"('outside', 0)","('r30', 0)",0,0,0,0,08:16:00,1.0204081632653061,0,0,1,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,3,1,0
64,motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,"('r12', 0)","('r29', 0)",0,0,0,1,08:16:15,1.0,0,0,1,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,1,0
65,motion,motion,no motion,no motion,no motion,no motion,motion,no motion,"('r22', 1)","('r29', 0)",0,0,0,0,08:16:30,0.98,1,0,0,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
66,motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,"('r22', 1)","('r29', 0)",0,0,0,0,08:16:45,0.9603999999999999,1,0,0,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
67,motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,"('r22', 1)","('c4', 6)",0,0,0,0,08:17:00,0.98,1,0,0,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
68,motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,"('r12', 0)","('r28', 0)",0,0,0,0,08:17:15,0.98,1,0,0,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
69,motion,no motion,no motion,no motion,motion,no motion,motion,no motion,"('outside', 0)","('c4', 6)",0,0,0,0,08:17:30,0.9603999999999999,1,0,0,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
70,motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,"('outside', 0)","('r28', 0)",0,0,0,0,08:17:45,0.98,1,0,0,0,0,0,2,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
71,motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,"('outside', 0)","('r28', 0)",0,0,0,0,08:18:00,0.9603999999999999,1,0,1,0,0,0,1,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
72,motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,"('r12', 0)","('c4', 6)",0,0,0,0,08:18:15,0.98,1,0,1,0,0,0,1,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
73,motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,"('r22', 1)","('r29', 0)",0,0,0,1,08:18:30,0.9603999999999999,1,0,1,0,0,0,1,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,5,0,0
74,motion,no motion,no motion,no motion,no motion,motion,motion,no motion,"('r12', 0)","('r29', 0)",0,0,0,1,08:18:45,0.9411919999999999,1,0,1,0,0,0,1,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
75,motion,no motion,no motion,no motion,no motion,motion,motion,no motion,"('r12', 0)","('r30', 0)",0,0,0,0,08:19:00,0.9603999999999999,1,0,1,0,0,0,1,0,0,3,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,6,0,0
76,motion,motion,no motion,no motion,no motion,no motion,motion,no motion,"('outside', 0)","('r30', 0)",0,0,0,0,08:19:15,0.98,1,0,1,0,1,0,1,0,0,3,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
77,motion,motion,no motion,no motion,no motion,no motion,motion,no motion,"('outside', 0)","('r30', 0)",0,0,0,0,08:19:30,1.0,0,0,2,0,1,0,1,0,0,3,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
78,motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,"('outside', 0)","('r30', 0)",0,0,0,0,08:19:45,0.98,0,0,2,0,0,0,1,0,1,3,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
79,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,"('r12', 0)","('r29', 0)",1,0,0,0,08:20:00,0.98,0,0,2,0,0,0,1,1,0,3,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
80,motion,no motion,no motion,no motion,no motion,motion,no motion,motion,"('r22', 1)","('r29', 0)",0,0,0,0,08:20:15,1.0,0,0,2,1,0,0,1,0,0,3,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0
81,motion,no motion,no motion,no motion,no motion,motion,motion,no motion,"('r25', 0)","('c4', 6)",0,0,0,0,08:20:30,1.0,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,6,0,0
82,motion,no motion,no motion,no motion,no motion,motion,motion,motion,"('r25', 0)","('r28', 0)",0,0,0,0,08:20:45,1.0204081632653061,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,6,0,0
83,motion,no motion,no motion,no motion,motion,no motion,no motion,motion,"('r22', 1)","('c4', 6)",0,0,0,0,08:21:00,1.0,0,1,0,1,0,0,1,0,0,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,6,1,0
84,motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,"('r25', 0)","('c4', 7)",0,1,0,0,08:21:15,1.0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,7,0,0
85,motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,"('c1', 0)","('r35', 1)",1,0,0,0,08:21:30,1.0204081632653061,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,6,0,0
86,motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,"('c1', 0)","('c4', 5)",0,0,0,0,08:21:45,1.0,0,1,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,5,0,0
87,motion,motion,no motion,no motion,no motion,no motion,no motion,motion,"('c1', 0)","('r35', 1)",0,0,0,0,08:22:00,0.98,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,5,0,0
88,motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,"('c1', 1)","('c4', 5)",0,1,0,0,08:22:15,0.9603999999999999,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,1,5,0,0
